" Time ","",""," Magnitude ",""," EventLocationName"
"2020-01-28T11:33:47.4Z","","","3.1","","WESTERN TURKEY"
"2020-01-28T11:45:34.8Z","","","3.7","","WESTERN TURKEY"
"2020-01-28T12:00:29.5Z","","","3.8","","WESTERN TURKEY"
"2020-01-28T12:08:34.5Z","","","3.2","","WESTERN TURKEY"
"2020-01-28T12:38:32.6Z","","","3.1","","WESTERN TURKEY"
"2020-01-28T13:47:56.8Z","","","3.1","","WESTERN TURKEY"
"2020-01-28T14:08:50.7Z","","","3.1","","WESTERN TURKEY"
"2020-01-28T14:37:42.4Z","","","3.1","","WESTERN TURKEY"
"2020-01-28T14:53:50.6Z","","","4.2","","WESTERN TURKEY"
"2020-01-28T14:58:07.1Z","","","3.3","","WESTERN TURKEY"
"2020-01-28T16:04:03.9Z","","","3.3","","WESTERN TURKEY"
"2020-01-28T20:10:27.4Z","","","4.5","","WESTERN TURKEY"
"2020-01-29T03:38:24.9Z","","","3","","WESTERN TURKEY"
"2020-01-29T11:14:48.2Z","","","3.4","","WESTERN TURKEY"
"2020-01-29T18:59:58.4Z","","","3.2","","WESTERN TURKEY"
"2020-01-30T04:28:36.7Z","","","3.1","","WESTERN TURKEY"
"2020-01-30T04:35:09.4Z","","","3.9","","WESTERN TURKEY"
"2020-01-30T05:36:10.7Z","","","3.2","","WESTERN TURKEY"
"2020-01-30T13:52:48.8Z","","","3.1","","WESTERN TURKEY"
"2020-01-30T14:03:55.1Z","","","4","","WESTERN TURKEY"
"2020-01-30T21:27:39.9Z","","","3.2","","WESTERN TURKEY"
"2020-01-31T08:23:33.4Z","","","3.4","","WESTERN TURKEY"
"2020-02-01T10:50:10.0Z","","","3.1","","AEGEAN SEA"
"2020-02-01T11:53:34.5Z","","","3.2","","WESTERN TURKEY"
"2020-02-01T12:46:05.0Z","","","3.1","","WESTERN TURKEY"
"2020-02-01T17:34:04.7Z","","","3.4","","AEGEAN SEA"
"2020-02-02T00:23:47.8Z","","","4.7","","WESTERN TURKEY"
"2020-02-02T00:34:06.9Z","","","3.2","","WESTERN TURKEY"
"2020-02-02T00:57:43.9Z","","","3.7","","WESTERN TURKEY"
"2020-02-02T03:17:55.1Z","","","3","","WESTERN TURKEY"
"2020-02-02T03:25:43.1Z","","","4","","WESTERN TURKEY"
"2020-02-02T06:26:13.2Z","","","3.7","","WESTERN TURKEY"
"2020-02-02T11:36:40.6Z","","","4.6","","WESTERN TURKEY"
"2020-02-02T19:01:50.4Z","","","3","","WESTERN TURKEY"
"2020-02-02T21:02:32.6Z","","","3.8","","WESTERN TURKEY"
"2020-02-02T23:40:38.4Z","","","3.1","","WESTERN TURKEY"
"2020-02-03T04:03:19.7Z","","","3.1","","WESTERN TURKEY"
"2020-02-03T04:41:01.5Z","","","3","","WESTERN TURKEY"
"2020-02-03T07:58:04.7Z","","","3.5","","WESTERN TURKEY"
"2020-02-03T17:16:44.2Z","","","3","","WESTERN TURKEY"
"2020-02-03T18:44:59.8Z","","","3.1","","WESTERN TURKEY"
"2020-02-03T21:18:04.2Z","","","3.9","","WESTERN TURKEY"
"2020-02-04T00:06:40.0Z","","","3.5","","WESTERN TURKEY"
"2020-02-04T01:27:28.9Z","","","4","","WESTERN TURKEY"
"2020-02-04T01:28:51.1Z","","","3.3","","WESTERN TURKEY"
"2020-02-04T01:30:09.6Z","","","3.4","","WESTERN TURKEY"
"2020-02-04T02:38:21.7Z","","","3.4","","WESTERN TURKEY"
"2020-02-04T03:14:45.4Z","","","3.3","","WESTERN TURKEY"
"2020-02-04T03:42:21.5Z","","","3.3","","AEGEAN SEA"
"2020-02-04T06:13:29.2Z","","","3.3","","AEGEAN SEA"
"2020-02-04T08:43:16.0Z","","","4.1","","WESTERN TURKEY"
"2020-02-04T10:17:09.4Z","","","3.4","","WESTERN TURKEY"
